burst_id,min_lag,duration_seconds,cluster,predicted_prob_250d_gt20,target_gt20_250d
2021-03-15_2021-03-15 09:23:40-04:00,79.02524305555555,4.0,3.0,1.9227993741334496e-89,0
2021-03-15_2021-03-15 09:25:41-04:00,79.02384259259259,1.0,0.0,2.993690617456831e-90,0
2021-03-15_2021-03-15 09:25:44-04:00,79.02380787037038,134.0,1.0,3.3013386198406544e-89,0
2021-03-15_2021-03-15 09:28:00-04:00,79.02223379629629,15.0,3.0,1.8774105654515265e-89,0
2021-03-15_2021-03-15 09:28:17-04:00,79.02203703703704,1.0,3.0,2.2527579500954537e-89,0
2021-03-15_2021-03-15 09:28:23-04:00,79.02196759259259,2.0,5.0,6.865451829855987e-90,0
2021-03-15_2021-03-15 09:28:29-04:00,79.02189814814815,1.0,3.0,2.252653475235486e-89,0
2021-03-15_2021-03-15 09:28:32-04:00,79.02186342592593,0.0,0.0,3.2405717104185556e-90,0
2021-03-15_2021-03-15 09:33:39-04:00,79.01831018518519,138.0,4.0,1.7780587109530052e-90,0
2021-03-15_2021-03-15 09:36:12-04:00,79.01653935185185,35.0,1.0,2.1145397914569205e-89,0
2021-03-15_2021-03-15 09:36:51-04:00,79.01608796296296,114.0,1.0,3.2930636330937207e-90,0
2021-03-15_2021-03-15 09:38:51-04:00,79.01469907407407,15.0,3.0,1.0861678239828596e-89,0
2021-03-15_2021-03-15 09:40:10-04:00,79.01378472222223,1.0,3.0,2.3498016165278043e-89,0
2021-03-15_2021-03-15 09:41:08-04:00,79.01311342592592,35.0,1.0,9.4214558006438e-90,0
2021-03-15_2021-03-15 09:42:11-04:00,79.01238425925926,5.0,3.0,1.5190835403149858e-89,0
2021-03-15_2021-03-15 09:59:45-04:00,79.00018518518519,15.0,3.0,1.0712298734210597e-89,0
2021-03-16_2021-03-16 08:00:02-04:00,78.08332175925926,1809.0,1.0,6.218029051857533e-66,0
2021-03-16_2021-03-16 08:30:33-04:00,78.06212962962962,0.0,3.0,3.48432956174287e-59,0
2021-03-16_2021-03-16 08:30:38-04:00,78.06207175925925,0.0,0.0,5.017097630578668e-60,0
2021-03-16_2021-03-16 08:31:02-04:00,78.06179398148149,0.0,3.0,3.4292595646450957e-59,0
