start,end,max,count,date
2021-01-27 09:09:47-05:00,2021-01-27 09:09:47-05:00,275.0,40,2021-01-27
2021-01-27 09:09:49-05:00,2021-01-27 09:09:51-05:00,264.0,49,2021-01-27
2021-01-27 09:09:53-05:00,2021-01-27 09:09:54-05:00,262.19,38,2021-01-27
2021-01-27 09:10:18-05:00,2021-01-27 09:10:18-05:00,255.0,10,2021-01-27
2021-01-27 09:10:20-05:00,2021-01-27 09:10:20-05:00,254.31,11,2021-01-27
2021-01-27 09:10:27-05:00,2021-01-27 09:10:29-05:00,265.08,42,2021-01-27
2021-01-27 09:10:47-05:00,2021-01-27 09:10:47-05:00,260.0,20,2021-01-27
2021-01-27 09:12:07-05:00,2021-01-27 09:12:07-05:00,267.99,45,2021-01-27
2021-01-27 09:13:00-05:00,2021-01-27 09:13:00-05:00,255.98,50,2021-01-27
2021-01-27 09:14:13-05:00,2021-01-27 09:14:21-05:00,276.0,257,2021-01-27
2021-01-27 09:14:24-05:00,2021-01-27 09:14:25-05:00,255.0,102,2021-01-27
2021-01-27 09:15:13-05:00,2021-01-27 09:15:31-05:00,275.0,655,2021-01-27
2021-01-27 09:15:44-05:00,2021-01-27 09:15:48-05:00,256.0,213,2021-01-27
2021-01-27 09:15:51-05:00,2021-01-27 09:15:51-05:00,254.5,40,2021-01-27
2021-01-27 09:16:19-05:00,2021-01-27 09:29:59-05:00,385.0,24748,2021-01-27
2021-01-28 08:00:04-05:00,2021-01-28 08:42:29-05:00,489.7,6810,2021-01-28
2021-01-28 08:43:04-05:00,2021-01-28 08:44:00-05:00,427.0,178,2021-01-28
2021-01-28 08:44:11-05:00,2021-01-28 08:45:22-05:00,431.99,163,2021-01-28
2021-01-28 08:45:24-05:00,2021-01-28 08:45:40-05:00,424.99,39,2021-01-28
2021-01-28 08:45:42-05:00,2021-01-28 08:45:42-05:00,420.0,3,2021-01-28
2021-01-28 08:45:45-05:00,2021-01-28 08:45:51-05:00,419.99,19,2021-01-28
2021-01-28 08:49:58-05:00,2021-01-28 08:49:58-05:00,418.99,2,2021-01-28
2021-01-28 08:50:00-05:00,2021-01-28 08:50:01-05:00,419.0,5,2021-01-28
2021-01-28 09:18:32-05:00,2021-01-28 09:18:32-05:00,434.06,6,2021-01-28
2021-01-28 09:20:25-05:00,2021-01-28 09:20:26-05:00,509.0,994,2021-01-28
2021-01-29 08:00:08-05:00,2021-01-29 08:00:12-05:00,368.0,4151,2021-01-29
2021-01-29 08:14:50-05:00,2021-01-29 08:15:15-05:00,393.55,619,2021-01-29
2021-01-29 08:15:17-05:00,2021-01-29 08:15:34-05:00,394.0,424,2021-01-29
2021-01-29 08:33:51-05:00,2021-01-29 08:33:58-05:00,355.0,25,2021-01-29
2021-01-29 08:34:00-05:00,2021-01-29 08:34:01-05:00,354.68,3,2021-01-29
